"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"NISCH","NISCH",0.83,46801205,15300515,54994423,1115346,15086760,22216374.9716667
"TOX","TOX",0.19,0.06,0.06,0.08,0.08,0.16,0.105
"PTPLAD2","PTPLAD2",2067044,5707580,0.06,5910938,0.14,0.29,2280927.08166667
"PTGIR","PTGIR",45505269,41063491,58195527,77791696,38818623,14920933,46049256.5
"SYT6","SYT6",1035460,0.39,1070900,0.35,0.57,0.85,351060.36
"COX7A1","COX7A1",2470407,3887923,3046715,2962099,1522282,0.57,2314904.42833333
"PBLD","PBLD",0.03,0.04,0.32,0.08,0.08,0.11,0.11
"C21orf63","C21orf63",2066270,0.23,0.43,0.43,0.48,0.42,344378.665
"ZZZ3","ZZZ3",0.89,0.72,0.65,33956330,0.4,0.27,5659388.82166667
"SP1","SP1",25794846,0.48,0.9,0.74,0.55,0.21,4299141.48
"FAM129C","FAM129C",5818225,1336009,143038675,104395257,1122567,0.84,42618455.64
"LLPH","LLPH",2477732,14746710,1072146,265315342,178092824,87739006,91573960
"ACOX3","ACOX3",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"SULT1A2","SULT1A2",34068661,14234149,4595251,23722790,12896163,15458985,17495999.8333333
"GPR27","GPR27",3662392,0.98,1060479,1312286,0.75,0.48,1005859.86833333
"BAZ1A","BAZ1A",0.89,1300294,3797822,0.8,2253063,1316539,1444619.94833333
"AQP2","AQP2",0.28,0.31,0.6,0.24,0.24,0.1,0.295
"RWDD2A","RWDD2A",0.03,0.04,0.17,0.09,0.09,9388135,1564689.23666667
"C17orf95","C17orf95",6515598,7786693,0.15,115060177,68979083,0.1,33056925.2083333
"GH2","GH2",0.4,0.21,0.21,0.9,0.26,0.12,0.35
"MED28","MED28",0.03,1112357,0.05,5615396,0.09,0.81,1121292.33
"LNX2","LNX2",0.4,0.4,4808606,0.96,0.43,0.14,801434.721666667
"tcag7.907","tcag7.907",76485335,193361645,278123316,752534198,1077024193,303447589,446829379.333333
"PI4KB","PI4KB",10131486,61648003,3358593,130455867,135051245,0.89,56774199.1483333
"JUNB","JUNB",7824460,3897757,60326095,9029101,13898634,0.85,15829341.3083333
"GOLGA8A","GOLGA8A",12704264,11851315,7134061,65377395,99708900,68527644,44217263.1666667
"BAZ2B","BAZ2B",0.91,1655414,1218451,1385542,0.77,12478699,2789684.61333333
"KIRREL2","KIRREL2",1249692,2654314,2517122,1668814,3891949,0.33,1996981.88833333
"PML","PML",6351126,23666496,8292936,4792427,4443289,1282683,8138159.5
"WFDC12","WFDC12",0.84,0.48,0.78,0.38,4732532,0.2,788755.78
"IGSF10","IGSF10",0.25,0.04,0.05,0.09,0.12,0.17,0.12
"KIAA0406","KIAA0406",0.08,9003753,8947092,0.16,0.34,3705107,3609325.43
"GJB7","GJB7",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"OCR1","OCR1",0.03,0.04,0.05,0.08,0.08,0.1,0.0633333333333333
"RNF11","RNF11",1208233,0.04,0.12,3940041,14732870,4632244,4085564.69333333
"KCTD3","KCTD3",0.26,0.45,1468770,0.94,0.36,0.18,244795.365
"RFPL1S","RFPL1S",0.03,0.04,4300698,0.08,0.08,0.1,716783.055
"SGCZ","SGCZ",0.03,0.04,0.05,0.08,0.11,0.1,0.0683333333333333
"SERPING1","SERPING1",0.1,0.09,0.08,0.08,0.09,0.1,0.09
"RNASE7","RNASE7",2740550,3852713,8330855,4712624,6279500,1322324,4539761
"RALY","RALY",24470423,51493777,49212773,36113349,277289365,8436575,74502710.3333333
"LAMA5","LAMA5",25369452,16752936,47487282,37642991,37883641,4957367,28348944.8333333
"SERPINB8","SERPINB8",0.03,0.11,0.05,0.08,0.17,0.11,0.0916666666666667
"ZNF559","ZNF559",2361468,0.06,0.25,0.23,0.17,0.17,393578.146666667
"NPW","NPW",25805254,19282399,33126855,19371444,8007893,2688977,18047137
"GRPR","GRPR",0.48,0.28,0.78,0.5,0.55,0.17,0.46
"DOT1L","DOT1L",5965128,18763437,15057039,14353067,13561256,2103399,11633887.6666667
"L3MBTL4","L3MBTL4",0.03,0.04,0.05,0.17,0.23,0.11,0.105
"XBP1","XBP1",42070629,56639525,92210417,308350313,247000761,213592656,159977383.5
"KLK3","KLK3",69620405,83562203,73991984,47757939,56849639,18146182,58321392
"SCUBE2","SCUBE2",0.48,0.37,0.34,1121805,0.32,1856605,496401.918333333
"MRPL43","MRPL43",1170365,9573798,0.32,0.08,39106899,9147792,9833142.4
"KIAA0141","KIAA0141",0.04,6974830,0.06,0.08,0.12,0.53,1162471.805
"ZNF770","ZNF770",1030771,0.69,0.86,1367619,1255538,1771600,904254.925
"HPX","HPX",4188312,8207976,7214930,15547458,4462508,0.92,6603530.82
