"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"CRX","CRX",0.41,0.49,0.23,0.43,0.18,0.15,0.315
"ZNF451","ZNF451",0.04,0.03,0.05,64446128,7630762,0.08,12012815.0333333
"ALAD","ALAD",6494750,1224470,12259762,3322341,2244856,44079925,11604350.6666667
"C6orf173","C6orf173",1785008,35072062,107574110,25522451,261030685,139007483,94998633.1666667
"CRYBG3","CRYBG3",3480618,0.03,0.04,0.06,0.06,0.08,580103.045
"C4orf43","C4orf43",0.13,0.03,0.16,0.06,0.06,0.86,0.216666666666667
"GPC1","GPC1",5420051,11746455,6766026,22454249,6466000,0.63,8808796.93833333
"KRT17P3","KRT17P3",1414203,1132525,2259504,1509788,1,0.47,1052670.245
"NFIA","NFIA",0.72,0.12,1585374,0.05,0.53,0.09,264229.251666667
"RSPH10B","RSPH10B",0.18,0.17,0.33,0.19,0.34,0.28,0.248333333333333
"ASIP","ASIP",0.63,0.5,0.34,0.77,0.69,0.1,0.505
"GOT1L1","GOT1L1",0.06,0.05,0.14,0.2,0.19,0.09,0.121666666666667
"LRRC39","LRRC39",0.09,0.11,0.46,0.05,0.05,4536588,756098.126666667
"PLCD4","PLCD4",0.53,0.47,0.48,0.74,0.48,0.38,0.513333333333333
"MNT","MNT",4246368,1326145,3545729,1388394,3726091,0.52,2372121.25333333
"BARX1","BARX1",0.21,0.12,0.58,0.41,0.31,0.11,0.29
"SMG1","SMG1",11134858,29242647,20169676,1573463,16075982,22032144,16704795
"SIPA1L2","SIPA1L2",0.04,0.2,0.14,0.61,0.11,0.09,0.198333333333333
"TH","TH",6362192,9784882,9728124,11890534,6619372,3222968,7934678.66666667
"PDZD3","PDZD3",11118392,10163332,14618591,10875510,9728353,3070356,9929089
"C9orf70","C9orf70",0.45,0.42,0.59,0.56,0.49,0.18,0.448333333333333
"NAG20","NAG20",5629089,0.04,0.13,0.06,0.06,0.09,938181.563333333
"GSTM4","GSTM4",22163174,0.19,37420948,2228993,4664998,18997259,14245895.365
"ERBB3","ERBB3",0.08,0.13,0.13,0.26,0.25,0.09,0.156666666666667
"PAQR6","PAQR6",59222522,5929049,25139952,7501813,12335611,5217196,19224357.1666667
"MKKS","MKKS",0.03,0.04,0.04,0.25,0.06,0.72,0.19
"TRIM9","TRIM9",0.14,0.04,0.04,0.06,0.06,0.1,0.0733333333333333
"PHLDA2","PHLDA2",0.02,0.05,0.04,0.06,0.06,20749520,3458253.37166667
"MRO","MRO",0.75,0.32,0.76,1590900,0.64,0.17,265150.44
"DND1","DND1",17854884,42877601,200269574,150298288,72374776,218278101,116992204
"CLCA3","CLCA3",0.1,0.09,0.11,0.2,0.07,0.1,0.111666666666667
"CACNG3","CACNG3",0.71,0.19,0.34,0.2,0.35,0.25,0.34
"AAAS","AAAS",1411069,5624362,2119759,144564301,5793213,1097076,26768296.6666667
"PTPRE","PTPRE",21884902,10148411,9411895,6982319,6215692,1192504,9305953.83333333
"PRNT","PRNT",0.97,0.08,0.18,0.11,0.14,0.08,0.26
"TLE6","TLE6",11737751,10594188,4848837,19429163,9514779,8066135,10698475.5
"UQCRQ","UQCRQ",54736444,25858199,93067314,176696074,334069091,0.08,114071187.013333
"GSC","GSC",0.3,0.34,0.39,0.1,0.39,0.09,0.268333333333333
"LOC644662","LOC644662",25850147,20630759,12740134,6001983,9030449,1487968,12623573.3333333
"ZCCHC5","ZCCHC5",0.07,0.07,0.07,0.06,0.06,0.14,0.0783333333333333
"SLC46A2","SLC46A2",0.02,0.12,0.11,0.33,0.18,0.1,0.143333333333333
"MAP2K5","MAP2K5",41588342,13363018,30988356,13921476,0.39,0.08,16643532.0783333
"C3orf31","C3orf31",0.31,8503492,0.34,0.35,0.31,8884297,2897965.05166667
"LOC100129038","LOC100129038",0.02,0.2,0.15,0.05,0.05,0.09,0.0933333333333333
"ITIH4","ITIH4",7134372,6732480,8371011,9364059,15186456,0.71,7798063.11833333
"CBX2","CBX2",3817416,3400253,0.38,0.63,3095050,0.23,1718786.70666667
"FLJ14816","FLJ14816",9444705,3830132,2631278,2392886,6823060,0.77,4187010.295
"KCNK1","KCNK1",3673540,2868220,2229711,3027029,2168736,0.22,2327872.70333333
"NAF1","NAF1",1823285,2105587,0.63,0.54,0.59,2689526,1103066.62666667
"C13orf18","C13orf18",0.39,0.06,0.72,0.13,0.21,0.09,0.266666666666667
"LOC729279","LOC729279",115550818,182202703,226079282,236320669,295574979,129077914,197467727.5
"PRELP","PRELP",0.76,0.92,0.75,0.74,0.83,0.38,0.73
"ABCB4","ABCB4",0.04,0.16,0.47,0.16,0.06,0.13,0.17
"BCL2L2","BCL2L2",4926421,5231952,9671208,5553872,8408691,13867766,7943318.33333333
"FGFRL1","FGFRL1",58993629,90409285,102386972,107631040,149384146,25676036,89080184.6666667
"ATP5G3","ATP5G3",0.3,0.15,0.18,0.6,0.34,0.13,0.283333333333333
"LOC154822","LOC154822",1943628,1251103,1737097,1718284,1731093,0.84,1396867.64
"SENP1","SENP1",0.1,6331050,0.07,1534436,0.06,0.1,1310914.38833333
"FASTKD2","FASTKD2",0.14,8503973,1272874,0.09,0.06,0.1,1629474.565
"SSBP2","SSBP2",0.98,0.5,0.89,58324019,1393490,0.76,9952918.68833333
"LRRC45","LRRC45",4540043,1172572,0.96,2477828,3151068,0.28,1890252.04
"C11orf70","C11orf70",0.02,0.26,0.04,0.06,0.06,0.1,0.09
"LOC645231","LOC645231",169640826,256694020,304433804,520796432,642594137,458645345,392134094
"VENTX","VENTX",5465431,0.17,0.13,0.17,0.07,0.1,910905.273333333
"RBM3","RBM3",4636785,17366328,15825906,114245604,59350522,68491504,46652774.8333333
"TPCN1","TPCN1",0.64,2154299,0.06,0.27,0.37,1246774,566845.723333333
"CACNA1G","CACNA1G",1206554,1452928,2049846,1308615,0.63,1013271,1171869.105
"NLGN4Y","NLGN4Y",0.02,0.04,0.06,0.06,0.08,0.1,0.06
"MST150","MST150",0.1,2949118,0.12,0.36,0.42,0.81,491519.968333333
"ZNF706","ZNF706",0.14,0.06,0.05,0.06,0.12,0.09,0.0866666666666667
"hCG_19809","hCG_19809",103944593,264550306,297286862,491558083,599975665,610486229,394633623
"TAGAP","TAGAP",0.34,10484630,0.32,100534894,0.19,1197796,18702886.8083333
"CRNKL1","CRNKL1",29973917,37492660,24794587,160653274,0.19,65046238,52993446.0316667
"SPINT2","SPINT2",0.12,0.64,0.17,0.14,4047394,0.08,674565.858333333
"FNDC4","FNDC4",0.32,0.49,0.4,0.48,0.61,0.16,0.41
"LHPP","LHPP",12393562,21410955,9279180,9100653,9566474,8179427,11655041.8333333
"EIF4A1","EIF4A1",106437442,239249395,235678306,425570853,576270491,408757787,331994045.666667
"DDI1","DDI1",21040972,0.11,0.65,0.85,5425883,1185567,4608737.26833333
"ATRN","ATRN",1157980,0.34,11539397,29122378,0.24,2138832,7326431.26333333
"FMO1","FMO1",1477973,0.64,1075023,0.7,0.82,0.28,425499.74
"RPL13A","RPL13A",782717122,954323240,1549517293,1814581939,2356220025,1019951843,1412885243.66667
"SAMSN1","SAMSN1",0.5,0.07,0.9,2781257,0.05,0.09,463543.101666667
"hCG_1771830","hCG_1771830",53425341,49931850,40292022,177164045,110313919,177841756,101494822.166667
"LOC388494","LOC388494",131258193,175469264,121201918,226442023,170338814,29568018,142379705
"C14orf177","C14orf177",0.29,0.31,0.14,0.96,2771950,0.09,461991.965
"ZNF497","ZNF497",3193635,2078141,2207525,2693260,2192991,0.73,2060925.455
"TSPAN11","TSPAN11",0.02,0.03,0.04,0.07,0.05,0.09,0.05
"C1QTNF2","C1QTNF2",3101097,5589990,5817679,7621316,10320418,5645420,6349320
"RHOBTB1","RHOBTB1",1578678,6228430,5805735,1256683,5170322,0.64,3339974.77333333
"DIS3","DIS3",0.03,0.03,0.04,4810779,8492187,11502662,4134271.35
"JAZF1","JAZF1",0.11,0.04,9431550,0.32,0.18,0.1,1571925.125
"C20orf46","C20orf46",6573655,7498504,10254580,5614089,11218084,1854977,7168981.5
"TUBB4","TUBB4",2020132,1521867,1252840,3022788,1814728,3659005,2215226.66666667
"SLC13A3","SLC13A3",0.39,0.12,0.3,0.4,0.09,0.18,0.246666666666667
"KLHDC6","KLHDC6",32326734,0.21,0.17,0.06,0.22,0.1,5387789.12666667
"SUPT16H","SUPT16H",0.67,5443164,0.86,1687773,0.63,25087482,5369736.86
"ZNF701","ZNF701",0.02,0.04,0.05,0.07,5788684,0.09,964780.711666667
"SALL3","SALL3",0.02,0.03,0.05,0.06,0.06,0.09,0.0516666666666667
"POLR1D","POLR1D",0.02,0.03,7629024,0.06,0.06,15583541,3868760.86166667
"LOC150763","LOC150763",29151565,20497626,12929449,10213322,21524280,2277579,16098970.1666667
"PHF11","PHF11",1590561,2268713,39283717,118907241,42633536,0.33,34113961.3883333
"MREG","MREG",0.34,0.39,0.13,0.1,0.37,0.57,0.316666666666667
"PRO0461","PRO0461",2073256,2031704,26851126,2548866,51609114,65103873,25036323.1666667
"LOC285535","LOC285535",0.87,0.1,0.05,0.06,0.47,0.08,0.271666666666667
"OCRL","OCRL",0.02,0.07,0.08,0.06,0.07,0.08,0.0633333333333333
"HNRPLL","HNRPLL",1415425,4316938,8196735,1509078,1317437,1867541,3103859
"GANAB","GANAB",17906896,65277756,44145333,131076302,212171064,77943603,91420159
"LYZL6","LYZL6",0.18,0.22,0.33,0.24,0.16,0.08,0.201666666666667
"PIGU","PIGU",1149209,13209428,11965063,0.29,0.42,32804262,9854660.45166667
"NDUFAF1","NDUFAF1",15947294,82521300,79321826,204119489,0.3,177539362,93241545.2166667
"YBX2","YBX2",4353453,4417828,8202268,6200839,4651778,4770923,5432848.16666667
"MAP3K7IP2","MAP3K7IP2",0.25,0.31,0.14,0.21,0.39,1119483,186580.716666667
"MAX","MAX",0.39,0.33,11458930,12680145,0.42,13985412,6354081.35666667
"BIRC2","BIRC2",0.27,1801567,0.74,0.83,0.79,40861286,7110475.93833333
"DUSP26","DUSP26",22014874,8032389,11544827,12680474,10618705,1369655,11043487.3333333
"POLR3A","POLR3A",0.13,44233845,7107014,176073625,0.18,0.1,37902414.0683333
"WNT10A","WNT10A",3774062,48964428,0.84,10723011,2542471,2600736,11434118.14
"CABP2","CABP2",1230995,1268795,0.65,1165237,1606733,0.37,878626.836666667
"NKTR","NKTR",0.76,3896851,0.04,17079134,8635789,17420133,7838651.3
"CCDC79","CCDC79",0.05,0.1,0.1,0.05,0.05,0.09,0.0733333333333333
"ADORA1","ADORA1",2261210,1310842,2210201,1891852,30430291,2163732,6711354.66666667
"C5orf27","C5orf27",0.61,0.4,2667141,0.38,0.93,0.24,444523.926666667
"PRSS23","PRSS23",0.04,0.17,0.07,0.05,0.18,0.09,0.1
"IL11RA","IL11RA",10011016,10752703,10703911,10461697,27407273,1105974,11740429
"CDC5L","CDC5L",0.02,0.03,0.04,10800050,0.05,0.73,1800008.47833333
"PSMD3","PSMD3",0.05,0.03,0.04,0.05,0.05,0.09,0.0516666666666667
"FBXL12","FBXL12",4445499,2870276,4710344,8521835,22684306,11343947,9096034.5
"BGN","BGN",31410004,20465148,29275850,21710490,18565194,3076376,20750510.3333333
"THRSP","THRSP",0.35,0.31,0.34,0.47,1017157,0.11,169526.43
"NR2C1","NR2C1",8893705,16020772,22428961,61813472,12439159,5446134,21173700.5
"SMARCD1","SMARCD1",3511446,1061927,1266911,0.24,2298887,9801616,2990131.20666667
"TESSP2","TESSP2",0.44,0.38,0.24,0.28,0.15,0.33,0.303333333333333
"CYP11B1","CYP11B1",7378933,8971919,8724505,13002689,10497417,3010569,8597672
"MDH1B","MDH1B",0.02,0.08,0.04,0.06,0.07,0.1,0.0616666666666667
"GUCA1A","GUCA1A",1404775,2163110,1199505,1172924,2317539,1032857,1548451.66666667
"DZIP3","DZIP3",0.84,0.91,0.48,0.41,6826256,0.1,1137709.79
"LRFN2","LRFN2",3986186,5747068,2098311,2241525,1696060,0.66,2628191.77666667
"CTSF","CTSF",0.23,0.1,0.58,1717683,0.07,0.1,286280.68
"FAHD2A","FAHD2A",8242333,0.41,99571673,0.85,0.38,56676884,27415148.6066667
"KLHL28","KLHL28",0.71,1457256,0.66,1187339,0.6,0.25,440766.203333333
"NEK8","NEK8",87332227,44612582,76917031,29496340,78593087,19107512,56009796.5
"TTPAL","TTPAL",12496332,15717565,6352611,50996694,6218183,3024873,15801043
"ZBTB12","ZBTB12",0.37,1104080,1713030,0.4,0.36,0.08,469518.535
"IKBKE","IKBKE",0.46,7782669,0.79,0.77,0.89,0.11,1297112.00333333
"OSBP2","OSBP2",0.03,0.03,0.11,0.06,0.06,0.08,0.0616666666666667
"ZNF812","ZNF812",0.46,1422471,0.59,9903036,1929694,2410956,2611026.34166667
"EDA2R","EDA2R",0.92,0.97,0.58,1201300,0.8,0.51,200217.296666667
"MAS1","MAS1",0.03,0.07,0.19,0.06,0.12,0.11,0.0966666666666667
"RASGRF1","RASGRF1",0.12,0.11,0.17,0.23,0.19,28597302,4766217.13666667
"FLJ40536","FLJ40536",0.94,0.13,0.09,0.26,0.18,0.08,0.28
"ZBTB32","ZBTB32",0.12,0.2,0.36,3513739,28840056,5677635,6338571.78
"HKR1","HKR1",0.77,19543822,1140076,1031147,1077759,56514283,13217847.9616667
"ZFYVE27","ZFYVE27",0.09,0.13,6322300,0.05,0.24,0.09,1053716.76666667
"LRTM2","LRTM2",1827420,1902841,2477798,1293138,2210348,0.89,1618590.98166667
"GIMAP7","GIMAP7",0.73,4419162,0.67,1354832,0.74,0.31,962332.741666667
"LOC442421","LOC442421",4603248,9806390,6617775,6998891,8879385,1165160,6345141.5
"ANGPTL6","ANGPTL6",3690039,1059734,1192957,1878513,16398632,6201809,5070280.66666667
"DAG1","DAG1",0.12,13387587,0.04,0.05,0.05,1767257,2525807.37666667
"KLHL33","KLHL33",4438577,5007839,4883417,5408060,6064386,0.62,4300379.93666667
"IL27RA","IL27RA",0.64,1351794,0.31,8775271,0.35,0.45,1687844.45833333
"FBLN1","FBLN1",17527349,1538968,0.98,1766143,1543440,0.36,3729316.89
"USP34","USP34",0.1,3903530,0.06,0.18,0.27,0.74,650588.558333333
"HGD","HGD",5667235,8821206,4234892,3913757,5446193,1502489,4930962
"MFSD3","MFSD3",1148947,25290425,2965036,52662842,0.89,0.6,13677875.2483333
"LMAN1","LMAN1",0.57,0.69,0.04,0.05,0.06,12132756,2022126.235
"PTPN20B","PTPN20B",2468092,0.67,0.41,1882010,1126629,0.09,912788.695
"PDZD7","PDZD7",1737650299,2180738474,2806615811,2961280006,3997998174,3529465002,2868957961
"TRIM26","TRIM26",63610152,75321759,131710280,4209508,255933657,55220565,97667653.5
"OR51E2","OR51E2",0.07,0.62,1098794,0.05,0.06,0.15,183132.491666667
"ZNF37A","ZNF37A",0.54,18002264,6819704,0.05,0.06,41398653,11036770.275
"CACNA2D1","CACNA2D1",0.02,0.06,0.45,0.14,0.06,0.09,0.136666666666667
"ST3GAL5","ST3GAL5",2366925,0.58,0.14,0.14,5445271,0.34,1302032.86666667
"POSTN","POSTN",0.02,0.04,0.04,0.06,0.11,0.1,0.0616666666666667
"CA3","CA3",0.06,0.07,0.06,0.25,0.13,0.1,0.111666666666667
"RYK","RYK",4664402,0.15,0.18,0.11,0.07,27637935,5383722.91833333
"CRYGC","CRYGC",2135432,1733452,1990749,2158460,1699682,0.36,1619629.22666667
"DNAJC28","DNAJC28",0.16,0.26,0.06,7871360,22728570,0.11,5099988.43166667
"SEPSECS","SEPSECS",0.02,0.04,0.05,0.06,6548839,0.1,1091473.21166667
"TCEB1P3","TCEB1P3",16391083,0.79,14721510,41057658,47388501,32551187,25351656.6316667
"VPS13A","VPS13A",0.05,0.1,64955602,0.06,0.08,7098134,12008956.0483333
"LEO1","LEO1",0.74,12517174,1484434,318187303,0.09,87871276,70010031.305
"DNAJC5B","DNAJC5B",2296763,2407281,16974368,3438697,2768683,0.5,4647632.08333333
"TRIM43","TRIM43",1813798,0.05,0.1,0.11,0.13,0.15,302299.756666667
"TCTEX1D1","TCTEX1D1",0.08,0.09,0.12,0.06,0.06,0.08,0.0816666666666667
"DUSP21","DUSP21",0.42,2832987,0.59,0.11,5106670,0.08,1323276.36666667
"GRIK4","GRIK4",0.18,0.1,0.12,0.1,0.2,0.08,0.13
"TMEM120B","TMEM120B",0.02,0.03,8422797,3189833,2611186,0.08,2370636.02166667
"FLJ36840","FLJ36840",0.47,0.06,0.39,2513965,2153692,28537104,5534126.98666667
"DNAJB12","DNAJB12",0.02,0.03,0.65,6227245,148122455,26523348,30145508.1166667
"CHADL","CHADL",11660389,38631527,33104264,4422695,104958768,69237672,43669219.1666667
"SIRPB2","SIRPB2",3470772,5197978,3201219,6507474,8009999,0.23,4397907.03833333
"KRT5","KRT5",0.13,0.06,0.1,0.06,0.06,0.08,0.0816666666666667
"MAPK1IP1L","MAPK1IP1L",0.15,0.03,0.29,0.05,0.37,8918475,1486412.64833333
"TGFA","TGFA",0.07,0.07,0.13,0.05,0.08,0.08,0.08
"GCAT","GCAT",0.02,0.03,0.3,0.05,0.06,0.08,0.09
"PIGK","PIGK",0.02,0.09,0.48,5549222,0.05,0.22,924870.476666667
"LOC727941","LOC727941",0.02,1646465,0.04,0.05,0.05,0.09,274410.875
"ATG9B","ATG9B",0.02,8128714,25113853,0.05,0.05,0.09,5540427.86833333
"RABEP2","RABEP2",5636477,5878482,32923050,7279419,4673322,0.42,9398458.40333333
"MTMR8","MTMR8",0.51,1887404,0.69,12510871,0.72,0.78,2399712.95
"LAGE3","LAGE3",1436918,2233871,1166367,1128166,0.71,5658757,1937346.61833333
"MESTIT1","MESTIT1",0.42,0.68,0.45,2173138,0.45,0.09,362190.015
"CRYBB1","CRYBB1",11282955,7844769,17584711,11040775,36035066,0.81,13964712.8016667
"GPR141","GPR141",0.18,0.03,0.06,0.08,0.05,0.09,0.0816666666666667
"EGR4","EGR4",0.63,0.52,1128251,1007831,0.42,0.24,356013.968333333
"GRM8","GRM8",0.41,0.21,0.26,1934929,0.29,0.1,322488.378333333
"EXOSC6","EXOSC6",54179900,69921516,68773709,183075919,172160326,7625078,92622741.3333333
"HSFX1","HSFX1",1015599,2069351,1020603,6155088,4054898,0.99,2385923.33166667
"NUPL1","NUPL1",14420513,0.56,5209803,0.28,0.3,12870694,5416835.19
"IBSP","IBSP",0.41,0.64,0.35,0.36,0.38,0.09,0.371666666666667
"MS4A1","MS4A1",8073682,13519198,3584811,6311749,3366742,3761629,6436301.83333333
"KIF3A","KIF3A",0.17,0.09,0.2,0.06,0.12,6994608,1165768.10666667
"HNRPDL","HNRPDL",33520279,95915551,44184230,374945168,280989798,479916528,218245259
"SLC25A32","SLC25A32",0.22,0.11,0.04,0.13,22625692,4315318,4490168.41666667
"LYSMD4","LYSMD4",0.37,0.43,0.59,0.38,0.74,1195452,199242.418333333
"PSMC5","PSMC5",70707756,23377448,99557500,343591377,0.39,361441337,149779236.398333
"PES1","PES1",0.27,0.26,30544253,58011602,145556318,52541067,47775540.0883333
"TCF19","TCF19",6689937,0.04,0.04,0.06,0.06,0.1,1114989.55
"HNRNPK","HNRNPK",66354495,87448677,154194115,197292070,536508460,761808856,300601112.166667
"DEFA3","DEFA3",1170162,1264792,1163522,0.65,1670681,0.48,878193.021666667
"TMEM74","TMEM74",0.02,0.04,0.04,0.06,0.06,0.1,0.0533333333333333
"CTA-216E10.6","CTA-216E10.6",2372945,2682883,1707902,5155666,2807781,4797202,3254063.16666667
"LOC644656","LOC644656",0.21,54857114,0.38,15298756,19213902,0.1,14894962.115
"ATAD1","ATAD1",25823775,27315751,14107934,280735752,74513968,53530037,79337869.5
"HNRNPH2","HNRNPH2",9254551,22065539,42746896,95200918,72623001,113746941,59272974.3333333
"TLR7","TLR7",4787924,0.04,0.05,0.1,0.07,0.1,797987.393333333
"RECQL5","RECQL5",0.02,0.04,0.05,2649025,0.08,0.1,441504.215
"KAT2A","KAT2A",3573094,2434410,3316461,1473379,4722262,5094257,3435643.83333333
"LPCAT3","LPCAT3",7307524,0.47,13548518,57208548,0.07,1784873,13308243.9233333
"ND3","ND3",150027733,222814829,314388014,634167639,643093145,309950085,379073574.166667
"SETD3","SETD3",2605262,0.03,15525538,47057361,69818658,41293809,29383438.005
"TRPV4","TRPV4",1036841,3845597,10089808,0.63,1158913,0.38,2688526.66833333
"GULP1","GULP1",0.27,0.03,0.06,0.06,0.06,0.08,0.0933333333333333
"S1PR3","S1PR3",1252145,0.64,1980733,1512680,0.7,0.66,790926.666666667
"DGKA","DGKA",2355049,10117644,5218901,199164423,0.7,12304702,38193453.2833333
"CENPO","CENPO",0.1,3656345,0.51,0.21,0.19,8113329,1961612.50166667
"TMEM40","TMEM40",2754495,1922046,2892532,1844908,3002833,0.69,2069469.115
"GRAMD1B","GRAMD1B",0.04,0.04,0.11,0.05,0.06,0.08,0.0633333333333333
"LRRC58","LRRC58",0.02,0.03,0.27,0.05,0.06,0.58,0.168333333333333
"SLC46A1","SLC46A1",6124614,9636378,1363538,2071248,1876532,7362283,4739098.83333333
"PSMA4","PSMA4",7226191,63015312,93302215,352207250,524373174,296117135,222706879.5
"MMP24","MMP24",0.59,0.61,0.88,0.99,0.95,0.35,0.728333333333333
"CLDN16","CLDN16",0.04,0.18,0.05,0.19,0.13,0.09,0.113333333333333
"CCT7","CCT7",90178579,103226760,304266161,501272453,222240524,265205598,247731679.166667
"ALKBH3","ALKBH3",3216907,24914655,3817770,4797543,5571737,30119037,12072941.5
"LOC100131646","LOC100131646",1906873,2829013,3053946,2592051,1323593,0.42,1950912.73666667
"C9orf61","C9orf61",0.17,0.03,0.25,0.05,0.22,0.09,0.135
"NETO2","NETO2",0.23,0.03,0.07,0.05,0.76,0.8,0.323333333333333
"CXorf38","CXorf38",0.35,0.27,0.24,35637242,0.19,0.09,5939540.52333333
"PI15","PI15",0.4,0.33,73421540,0.8,0.38,0.09,12236923.6666667
"TPSD1","TPSD1",3985047,11116732,23656663,13288144,10287894,1222067,10592757.8333333
"NRG4","NRG4",1987537,2205406,1608214,2601342,1924182,0.96,1721113.66
"C1orf106","C1orf106",0.39,0.19,0.15,4124423,0.15,0.09,687403.995
"SMC1A","SMC1A",10000232,0.22,0.53,0.31,0.25,0.09,1666705.56666667
"QTRTD1","QTRTD1",0.17,0.13,0.1,0.1,0.05,1372152,228692.091666667
"GALT","GALT",0.36,0.4,0.15,0.13,199419900,1460780,33480113.5066667
"TRIM27","TRIM27",7493781,32305029,12445657,41129275,3413244,14313431,18516736.1666667
"MGC16025","MGC16025",0.89,0.86,0.81,1749651,1277172,0.09,504470.941666667
"NPY5R","NPY5R",0.02,0.04,0.08,0.05,0.06,0.09,0.0566666666666667
"TNRC6C","TNRC6C",4830751,5957241,5057646,4266320,13079391,0.7,5531891.61666667
"SPA17","SPA17",0.81,1042396,1465971,30783187,3700491,0.68,6165341.08166667
"MSMB","MSMB",0.04,0.09,0.04,0.06,0.06,0.1,0.065
"FBXO25","FBXO25",7795792,4450069,3769820,5432979,4522309,3720000,4948494.83333333
"ICAM2","ICAM2",17078765,36430142,45988231,145687047,143270634,3035166,65248330.8333333
"FOXE1","FOXE1",28076880,26004521,25599245,24747343,18821602,6152337,21566988
"KLHL13","KLHL13",0.47,0.56,0.81,1064295,1077104,0.34,356900.196666667
"VTN","VTN",2420383,2638961,1972768,3653380,3743997,1078383,2584645.33333333
"SFI1","SFI1",21389834,4439839,10847324,70191340,10210947,8465157,20924073.5
"AQP4","AQP4",0.99,0.04,0.05,0.07,0.08,0.1,0.221666666666667
"TJP1","TJP1",0.3,0.39,0.35,0.25,0.06,0.09,0.24
"LMX1A","LMX1A",7540670,4246861,3397601,5014086,4720920,1237014,4359525.33333333
"SNRPD1","SNRPD1",79391146,149425235,221944758,700206890,614995155,574133600,390016130.666667
"NHEJ1","NHEJ1",5534857,6761820,0.14,0.06,0.2,3253471,2591691.4
"ANO5","ANO5",0.03,0.03,0.09,0.06,0.09,0.08,0.0633333333333333
"PDPK1","PDPK1",23913301,51147040,10723847,0.64,1929926,0.08,14619019.12
"RNF157","RNF157",1226430,1148317,1051835,1579346,0.85,0.31,834321.526666667
"CCDC90B","CCDC90B",0.02,0.09,0.26,65584891,28126453,18534802,18707691.0616667
"B3GALT5","B3GALT5",0.14,0.14,0.45,0.28,0.07,0.11,0.198333333333333
"RNF185","RNF185",5389011,0.13,11203008,0.28,217801671,34026310,44736666.735
"RIOK3","RIOK3",0.05,0.12,0.39,2637334,0.1,8144736,1797011.77666667
"DHRS12","DHRS12",0.33,1910985,0.69,0.3,0.22,0.08,318497.77
"SERPINA3","SERPINA3",0.03,0.16,0.53,0.17,0.22,0.15,0.21
"MARVELD2","MARVELD2",0.36,14874310,0.26,0.39,0.4,0.09,2479051.91666667
"LOC728179","LOC728179",176565495,157957117,338022372,434300350,409232445,130646782,274454093.5
"C9orf139","C9orf139",69870337,86423277,79630498,93962983,74478601,7966712,68722068
"SLC25A36","SLC25A36",0.11,0.09,0.18,0.13,0.18,0.09,0.13
"FSHB","FSHB",0.16,0.15,0.32,0.24,0.24,0.12,0.205
"PRSS7","PRSS7",3079730,0.71,1674947,1544576,7052369,0.6,2225270.55166667
"IL18RAP","IL18RAP",0.49,0.56,0.65,0.76,0.97,0.38,0.635
"MLH1","MLH1",1579976,13325133,0.52,20990102,1102485,9293956,7715275.42
"TAS2R50","TAS2R50",0.02,0.03,0.04,0.05,0.05,0.09,0.0466666666666667
"C9orf97","C9orf97",0.29,0.2,0.06,1566749,0.15,0.09,261124.965
"IGSF11","IGSF11",1214649,0.43,0.43,0.92,0.65,0.23,202441.943333333
"TCEA2","TCEA2",20887242,0.36,0.1,0.24,18282128,0.09,6528228.465
"C6orf206","C6orf206",1503285,0.67,4580378,1157616,0.8,0.34,1206880.135
"BTD","BTD",0.08,0.16,0.04,0.16,0.14,0.09,0.111666666666667
"RELB","RELB",8851565,8622309,25183645,113530554,13566939,2118544,28645592.6666667
"F7","F7",0.42,0.54,0.54,1180409,0.81,0.12,196735.238333333
"SEC23B","SEC23B",1066296,6648085,0.04,0.05,5856119,26919401,6748316.84833333
"MED14","MED14",0.06,0.07,0.2,0.28,0.55,0.09,0.208333333333333
"ITPR1","ITPR1",1496763,0.06,0.11,0.44,0.1,0.14,249460.641666667
"SPTBN2","SPTBN2",2603237,2663406,4250750,6756915,34990022,0.76,8544055.12666667
"PRPSAP2","PRPSAP2",14092728,15904878,16591795,14644041,86763492,12847701,26807439.1666667
"C7","C7",19902593,18992131,13171061,15535755,40791238,1886244,18379837
"RP2","RP2",0.08,7544263,0.98,0.14,0.1,0.88,1257377.53
"GUCY1A3","GUCY1A3",0.27,0.28,0.65,0.67,0.39,0.15,0.401666666666667
"MAP2K3","MAP2K3",7832412,49098704,18766257,198001976,64291063,2740268,56788446.6666667
"ZEB1","ZEB1",0.44,9687565,6204397,10529056,0.48,8278202,5783203.48666667
"CROP","CROP",16229983,0.46,3390238,1,50596854,67002347,22869903.91
"LOC493754","LOC493754",3969203,4764897,15202063,51965276,57744426,10978103,24103994.6666667
"TMEM208","TMEM208",0.04,0.13,4170266,86375378,0.06,7696001,16373607.5383333
"MORF4L1","MORF4L1",8879603,11038826,0.1,19284448,65269718,50460301,25822149.35
"PMVK","PMVK",5606397,1276312,5208751,166588616,232188118,8000073,69811377.8333333
"PACSIN3","PACSIN3",0.9,5265635,2758636,6637981,4752818,3775226,3865049.48333333
"ITIH2","ITIH2",2092898,0.89,1,2542580,0.82,0.3,772580.168333333
"NDRG4","NDRG4",1502195,0.4,0.81,143264860,1571364,0.37,24389736.7633333
"PSORS1C2","PSORS1C2",25437717,22639612,31578456,12889859,10574335,2729053,17641505.3333333
