"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ABCF1",9.07478371701738,8.97347463903405,9.02522511260946,9.00628488943399,1.0112898383356,1.00210300067209
"ABCF2",7.39473600780478,7.4517431919327,7.40302044162995,7.45022489674104,0.9923498190075,0.99366402279591
"ABCF3",6.75599908304239,6.90415389121359,6.83564838871434,6.9168560016962,0.978541207147809,0.988259461674213
"ABCG1",7.33811008227262,7.26482884667601,7.30976405282019,7.26287619222681,1.01008712485087,1.00645582539925
"ABCG5",6.60342770831939,6.57850498560692,6.5808823122873,6.5987401132467,1.0037885085999,0.99729375598176
"ABCG8",6.51531570257072,6.54154502164352,6.53948726876051,6.5531580983664,0.995990348000966,0.997913856281096
"ABHD1",7.08102102285092,6.88203125001965,6.98562968084411,6.84485861041977,1.02891439541643,1.02056595737566
"ABHD10",8.194415096151,8.31621782536959,8.18206110077518,8.30651008174715,0.985353590805785,0.985017898040546
"ABHD11",6.47606028989388,6.50712938307049,6.48436288635542,6.50123170658988,0.995225376452873,0.997405288567494
"ABHD12",7.79173395394466,7.87008692821043,7.77342990913022,7.87500192930874,0.990044204723468,0.987101968851526
"ABHD12B",6.73585188325,6.7499080963395,6.74429768469894,6.82270281164229,0.997917569707782,0.988508201352466
"ABHD13",6.6277782161003,6.60353372994149,6.61866092883143,6.64060145670176,1.00367144125408,0.99669600291278
"ABHD14A",8.28576707053359,8.57975562583567,8.30816563521622,8.52362857835255,0.965734623674267,0.974721687934228
"ABHD14B",6.88543688974695,6.75939343409129,6.84006066236929,6.76740389967366,1.01864715479054,1.01073628288968
"ABHD15",7.34837064817062,7.07180692239751,7.25001433231966,7.092617721753,1.03910792938891,1.02219161059307
"ABHD2",7.02634599378777,6.97699344170196,7.02047258634861,6.9696262746017,1.00707361308251,1.00729541437999
"ABHD3",7.34098557196139,7.46442766438749,7.44131854929426,7.40348420568264,0.983462617902369,1.00511034298994
"ABHD4",6.84091728511192,6.92918492723489,6.87712307924593,6.84992982549922,0.987261468260714,1.00396985873424
"ABHD5",7.26393474360141,7.19407953194531,7.30169802667176,7.15425199435423,1.00971009721896,1.02060956651148
"ABHD6",8.73601139162125,8.78334410631128,8.82677277263917,8.84693235569201,0.994611082736015,0.997721291150161
"ABHD7",7.86106517585646,8.58826024295219,8.00292147654112,8.50499161206782,0.915326847752141,0.940967591923981
"ABHD8",10.7444360406312,10.4064155229359,10.5316477532131,10.4316872116001,1.03248193548973,1.00958239444735
"ABHD9",6.6229955272496,6.71137483672169,6.59846145336208,6.65304703987755,0.98683141507929,0.991795400485177
"ABI1",8.02141712555963,8.27598493060961,8.06326417414072,8.24676078063668,0.969240180210039,0.977749250720743
"ABI2",6.66630364104909,6.72154700717573,6.69269240222045,6.70796165910204,0.991781153048895,0.99772371136605
"ABI3BP",6.95989516405984,6.83537180334089,7.04270335951707,6.78917575856214,1.01821749632669,1.03734291318577
"ABL1",8.54315895370964,8.05544645643145,8.35553614478698,8.0721287646602,1.06054444032569,1.03510937305256
"ABL2",6.61964720926029,6.68694112877536,6.6555127748864,6.67188490039907,0.989936516828974,0.997546101925157
